"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)","rain (mm)","raining (s)","SWDR (W/m²)","PAR (µmol/m²/s)","max. PAR (µmol/m²/s)","Tlog (degC)","CO2 (ppm)"
01.01.2024 00:10:00,  979.65,    7.63,  282.43,    2.83,   71.53,   10.47,    7.49,    2.98,    4.77,    7.64, 1211.93,    3.37,    5.04,  209.00,    0.00,    0.00,    0.00,    0.00,    0.00,   15.38,  428.80
01.01.2024 00:20:00,  979.56,    7.63,  282.45,    2.76,   71.18,   10.47,    7.45,    3.02,    4.75,    7.61, 1211.82,    2.63,    4.50,  204.50,    0.00,    0.00,    0.00,    0.00,    0.00,   15.42,  428.10
01.01.2024 00:30:00,  979.51,    7.56,  282.37,    2.66,   71.00,   10.42,    7.40,    3.02,    4.71,    7.55, 1212.11,    3.48,    6.96,  208.10,    0.00,    0.00,    0.00,    0.00,    0.00,   15.47,  428.30
01.01.2024 00:40:00,  979.43,    7.51,  282.33,    2.59,   70.91,   10.38,    7.36,    3.02,    4.69,    7.52, 1212.25,    3.73,    5.13,  201.80,    0.00,    0.00,    0.00,    0.00,    0.00,   15.52,  427.80
01.01.2024 00:50:00,  979.35,    7.42,  282.25,    2.51,   70.93,   10.32,    7.32,    3.00,    4.66,    7.47, 1212.56,    3.06,    4.21,  198.60,    0.00,    0.00,    0.00,    0.00,    0.00,   15.53,  428.00
01.01.2024 01:00:00,  979.34,    7.20,  282.03,    2.46,   71.76,   10.17,    7.30,    2.87,    4.65,    7.45, 1213.48,    3.59,    7.01,  208.00,    0.00,    0.00,    0.00,    0.00,    0.00,   15.51,  428.10
01.01.2024 01:10:00,  979.25,    7.12,  281.95,    2.42,   71.97,   10.11,    7.27,    2.83,    4.63,    7.43, 1213.75,    3.70,    5.89,  205.10,    0.00,    0.00,    0.00,    0.00,    0.00,   15.45,  427.90
01.01.2024 01:20:00,  979.21,    7.08,  281.92,    2.35,   71.79,   10.08,    7.24,    2.84,    4.61,    7.39, 1213.89,    2.45,    3.48,  191.30,    0.00,    0.00,    0.00,    0.00,    0.00,   15.36,  428.20
01.01.2024 01:30:00,  979.30,    7.01,  281.84,    2.31,   71.92,   10.03,    7.22,    2.82,    4.60,    7.37, 1214.32,    3.03,    5.11,  200.20,    0.00,    0.00,    0.00,    0.00,    0.00,   15.29,  427.90
01.01.2024 01:40:00,  979.43,    6.84,  281.66,    2.31,   72.78,    9.92,    7.22,    2.70,    4.60,    7.37, 1215.21,    2.78,    4.22,  203.80,    0.00,    0.00,    0.00,    0.00,    0.00,   15.23,  428.30
01.01.2024 01:50:00,  979.42,    6.67,  281.49,    2.41,   74.14,    9.80,    7.27,    2.53,    4.63,    7.42, 1215.91,    3.71,    5.54,  214.00,    0.00,    0.00,    0.00,    0.00,    0.00,   15.18,  428.20
01.01.2024 02:00:00,  979.46,    6.53,  281.35,    2.52,   75.42,    9.71,    7.32,    2.39,    4.66,    7.48, 1216.52,    4.48,    6.29,  211.90,    0.00,    0.00,    0.00,    0.00,    0.00,   15.11,  428.50
01.01.2024 02:10:00,  979.36,    6.49,  281.32,    2.51,   75.60,    9.68,    7.32,    2.36,    4.66,    7.47, 1216.57,    4.79,    6.05,  194.30,    0.00,    0.00,    0.00,    0.00,    0.00,   15.02,  428.70
01.01.2024 02:20:00,  979.19,    6.44,  281.27,    2.52,   75.94,    9.64,    7.32,    2.32,    4.67,    7.48, 1216.61,    4.90,    7.15,  189.80,    0.00,    0.00,    0.00,    0.00,    0.00,   14.91,  428.70
01.01.2024 02:30:00,  979.16,    6.42,  281.25,    2.58,   76.37,    9.63,    7.36,    2.28,    4.69,    7.51, 1216.65,    4.60,    6.78,  198.10,    0.00,    0.00,    0.00,    0.00,    0.00,   14.80,  428.70
01.01.2024 02:40:00,  979.26,    6.47,  281.30,    2.66,   76.52,    9.67,    7.40,    2.27,    4.71,    7.55, 1216.51,    5.05,    8.86,  203.60,    0.00,    0.00,    0.00,    0.00,    0.00,   14.69,  428.50
01.01.2024 02:50:00,  979.23,    6.54,  281.37,    2.75,   76.68,    9.71,    7.45,    2.26,    4.74,    7.60, 1216.17,    6.69,    9.20,  205.40,    0.00,    0.00,    0.00,    0.00,    0.00,   14.59,  428.20
01.01.2024 03:00:00,  979.27,    6.59,  281.42,    2.84,   76.90,    9.75,    7.50,    2.25,    4.78,    7.66, 1215.96,    6.15,    7.94,  213.40,    0.00,    0.00,    0.00,    0.00,    0.00,   14.48,  427.80
01.01.2024 03:10:00,  979.32,    6.64,  281.47,    2.90,   76.98,    9.78,    7.53,    2.25,    4.80,    7.69, 1215.80,    6.30,    9.06,  212.30,    0.00,    0.00,    0.00,    0.00,    0.00,   14.37,  427.80
01.01.2024 03:20:00,  979.26,    6.80,  281.63,    2.93,   76.31,    9.89,    7.55,    2.34,    4.81,    7.71, 1215.03,    6.35,    8.55,  209.10,    0.00,    0.00,    0.00,    0.00,    0.00,   14.30,  427.80
01.01.2024 03:30:00,  979.27,    6.87,  281.70,    2.94,   75.97,    9.94,    7.55,    2.39,    4.81,    7.71, 1214.73,    5.78,    7.64,  211.50,    0.00,    0.00,    0.00,    0.00,    0.00,   14.26,  427.80
01.01.2024 03:40:00,  979.29,    6.89,  281.73,    2.89,   75.56,    9.95,    7.52,    2.43,    4.79,    7.68, 1214.65,    5.67,    8.80,  219.70,    0.00,    0.00,    0.00,    0.00,    0.00,   14.24,  427.80
01.01.2024 03:50:00,  979.45,    6.92,  281.73,    2.87,   75.35,    9.97,    7.51,    2.46,    4.78,    7.67, 1214.76,    5.17,    8.14,  214.60,    0.00,    0.00,    0.00,    0.00,    0.00,   14.23,  428.10
01.01.2024 04:00:00,  979.37,    6.85,  281.67,    2.86,   75.65,    9.92,    7.51,    2.42,    4.78,    7.66, 1214.97,    5.53,    7.64,  215.20,    0.00,    0.00,    0.00,    0.00,    0.00,   14.23,  428.20
01.01.2024 04:10:00,  979.45,    6.82,  281.64,    2.90,   76.00,    9.91,    7.53,    2.38,    4.80,    7.69, 1215.15,    5.29,    8.27,  214.30,    0.00,    0.00,    0.00,    0.00,    0.00,   14.24,  428.30
01.01.2024 04:20:00,  979.41,    6.70,  281.52,    2.99,   77.13,    9.82,    7.58,    2.25,    4.83,    7.74, 1215.61,    4.98,    7.04,  212.30,    0.00,    0.00,    0.00,    0.00,    0.00,   14.25,  428.30
01.01.2024 04:30:00,  979.34,    6.67,  281.50,    3.08,   77.78,    9.80,    7.63,    2.18,    4.86,    7.79, 1215.62,    5.53,    8.64,  209.80,    0.00,    0.00,    0.00,    0.00,    0.00,   14.25,  428.30
01.01.2024 04:40:00,  979.34,    6.60,  281.42,    3.19,   78.80,    9.75,    7.69,    2.07,    4.90,    7.85, 1215.92,    5.49,    7.69,  213.40,    0.00,    0.00,    0.00,    0.00,    0.00,   14.26,  428.50
01.01.2024 04:50:00,  979.29,    6.51,  281.34,    3.24,   79.51,    9.70,    7.71,    1.99,    4.91,    7.87, 1216.21,    5.53,    7.96,  212.90,    0.00,    0.00,    0.00,    0.00,    0.00,   14.26,  428.60
01.01.2024 05:00:00,  979.31,    6.45,  281.28,    3.24,   79.85,    9.66,    7.71,    1.95,    4.91,    7.87, 1216.50,    5.75,    7.64,  213.80,    0.00,    0.00,    0.00,    0.00,    0.00,   14.27,  428.70
01.01.2024 05:10:00,  979.25,    6.37,  281.20,    3.25,   80.40,    9.60,    7.72,    1.88,    4.92,    7.88, 1216.80,    4.59,    7.46,  213.70,    0.00,    0.00,    0.00,    0.00,    0.00,   14.26,  429.00
01.01.2024 05:20:00,  979.31,    6.24,  281.07,    3.24,   81.00,    9.52,    7.71,    1.81,    4.91,    7.87, 1217.42,    4.05,    5.77,  216.70,    0.00,    0.00,    0.00,    0.00,    0.00,   14.25,  429.30
